"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","65/1188","371/9410",0.175202156334232,1.38775445379219,2.89650828354148,0.00337612805213529,0.0260142659347559,0.0260142659347559,"P2RY8/GRPR/SSTR2/SCT/NPFFR1/MC5R/CHRND/UTS2B/MCHR1/GRIK5/S1PR2/GRM8/GPR83/CORT/AVPR1A/C3AR1/CHRM5/GCG/LPAR6/PTGIR/GNRH1/ADRB2/GIPR/CALCR/CHRNA7/ADM2/GPR50/VIPR2/NPY1R/ADM/HTR7/CRHR2/UCN/MLNR/OPRD1/SSTR1/PRLR/PTGER4/OXTR/CHRM3/VGF/P2RY11/P2RX2/RXFP4/PLG/DRD4/TAC3/GALR2/GRIN1/S1PR1/OXT/P2RY1/IAPP/GNRH2/HRH3/HRH1/CALCB/GRIA4/ADRA2B/GABRR2/THRB/GABBR2/KISS1/ADRB1/CHRNE",65
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","36/1188","181/9410",0.198895027624309,1.57542273564373,2.97125687893053,0.00343198811433163,0.0260142659347559,0.0260142659347559,"CASP10/CEBPG/TRAF6/NOD2/IFNB1/IL1B/TNF/CARD9/CR1L/HLA-DOB/TGFB3/CD74/MRC1/CLEC4M/IFNGR2/HLA-DOA/SPHK1/IL10RA/TLR2/VDR/NFKB1/CYP27B1/ATP6V0C/IL23A/PLK3/ATP6V0A1/IRAK2/FCGR1A/CASP3/ITGAM/IL6/IL12A/JAK2/IL1A/CALML6/BCL10",36
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","21/1188","90/9410",0.233333333333333,1.84820426487093,3.07330009034042,0.00347349573560662,0.0260142659347559,0.0260142659347559,"TRAF6/NFATC1/MAP2K3/CD274/PIK3R1/BATF3/PIK3R3/IFNGR2/RPS6KB2/JUN/TLR2/NFKB1/NFKBIE/LAT/NFKBIA/JAK2/ALK/BATF2/NFKBIB/TICAM1/FOS",21
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","33/1188","163/9410",0.202453987730061,1.60361281526926,2.95490173775456,0.0037184100483189,0.0272683403543386,0.0272683403543386,"CASP10/BRAF/NFATC4/TRAF6/CXCL8/IFNB1/NFATC1/EGR2/RIGI/TNF/MAP2K3/TGFB3/PIK3R1/IFIH1/EGR3/PIK3R3/PRKCG/JUN/TLR2/MMP9/NFKB1/TAB2/FAS/CDKN1A/STAT5A/CASP3/CREB5/IRF7/NFKBIA/IL6/JAK2/TICAM1/FOS",33
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","43/1188","227/9410",0.18942731277533,1.5004301458046,2.9010506975675,0.00384094029110082,0.0275920608666835,0.0275920608666835,"MDM2/NFATC4/CCL3/CXCL8/IFNB1/TAP1/NFATC1/IL1B/TNF/GNGT1/TAPBPL/PLCB4/CCL5/PIK3R1/STING1/PIK3R3/CCL4/PRKCG/B2M/CX3CL1/RPS6KB2/IL10RA/PTGER4/NFKB1/HLA-A/CCL4L2/HLA-G/CXCR4/GNG8/FAS/HLA-B/CDKN1A/HLA-C/CCL3L1/HLA-F/CASP3/CREB5/CGAS/NFKBIA/IL6/CALML6/GNAO1/ADCY5",43
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","21/1188","91/9410",0.230769230769231,1.82789432789433,3.01649191622892,0.0039920371053448,0.0281039412216274,0.0281039412216274,"CD72/BTK/NFATC1/RASGRP3/PIK3R1/PIK3R3/CD79A/IFITM1/JUN/DAPP1/LILRA6/NFKB1/LILRB3/NFKBIE/PLCG2/CD22/NFKBIA/INPP5D/BCL10/NFKBIB/FOS",21
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","21/1188","93/9410",0.225806451612903,1.78858477245574,2.90497922922622,0.00522325633898716,0.035266452411214,0.035266452411214,"NFATC1/IL13/IL12RB2/DLL1/HLA-DOB/TBX21/IFNGR2/HLA-DOA/DLL4/JUN/NFKB1/NFKBIE/STAT5A/GATA3/IL5/LAT/NFKBIA/IL12A/JAK2/NFKBIB/FOS",21
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","17/1188","70/9410",0.242857142857143,1.92364117364117,2.94828922136674,0.00530053837527691,0.035266452411214,0.035266452411214,"FYN/LAMA2/DMD/HLA-DOB/ICAM1/MYH6/HLA-DOA/SGCG/ABL2/HLA-A/HLA-G/DTNA/HLA-B/HLA-C/CAV3/HLA-F/CASP3",17
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","23/1188","105/9410",0.219047619047619,1.73504890171557,2.87901489774116,0.00531000561873393,0.035266452411214,0.035266452411214,"LAMA2/CACNB2/ITGA8/SLC8A3/TNF/RYR2/DMD/MYH6/TGFB3/ITGB8/SGCG/ATP2A1/CACNA1C/CACNG8/ITGA5/CACNA1F/DTNA/CACNB1/CAV3/SLC8A2/ITGB7/ADRB1/ADCY5",23
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","44/1188","238/9410",0.184873949579832,1.46436352318705,2.75807309309662,0.00551376691801115,0.03532209473137,0.03532209473137,"PLAAT2/FGF21/PDGFA/RASSF5/REL/NGFR/ETS1/ANGPT2/FGF20/PLA1A/PGF/NGF/IGF2/PLA2G10/GNGT1/RASGRP3/FGF8/PIK3R1/HTR7/PAK3/PIK3R3/PRKCG/RASGRP4/ABL2/ANGPT4/CSF1/TEK/NFKB1/FLT3LG/RRAS2/GNG8/PLCG2/GRIN1/FGF19/FGF18/CSF1R/LAT/RASSF1/FGF1/CALML6/FGF2/PLA2G4C/FGF5/SHC4",44
