"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0016579","protein deubiquitination",94,0.310532379471024,1.4557031598787,0.02349011419101,0.0884262941377329,0.0318440325685027,2153,"tags=20%, list=13%, signal=18%","TNFAIP3/OTUD1/CYLD/YOD1/ZC3H12A/SPATA2/USP18/TNIP1/USP6/TRIM21/JOSD1/VCPIP1/USP21/USP36/OTUD3/USP15/USP49/TANK/USP44",0.352487857583619
"GO:0045332","phospholipid translocation",42,-0.406681669811828,-1.45486837695149,0.0451597495086471,0.144122945696533,0.0519014827137322,4936,"tags=55%, list=30%, signal=39%","ANO5/ATP11B/ATG9A/VDAC2/ANO7/XKR8/SERINC5/XRCC4/SLC66A2/SERINC3/ABCA7/PLSCR4/ATP8B4/ATP8A1/SERINC2/ATP8B1/ATP11C/ATP9A/ATP8B3/ATP11A/ABCC1/ATP10A/CDC50A",0.321775918075361
"GO:0031102","neuron projection regeneration",32,-0.440321354326412,-1.45359273988425,0.0477657935285054,0.149633918991802,0.0538860916449324,4399,"tags=62%, list=26%, signal=46%","PUM2/ULK1/MMP2/MAP1B/STK24/KIAA0319/CTNNA1/CSPG5/RTN4R/THY1/INPP5F/SPP1/TSPO/RTN4RL2/PTPRS/KREMEN1/CERS2/DAG1/DHFR/GRN",0.257206466468838
"GO:0097006","regulation of plasma lipoprotein particle levels",59,-0.377451701612668,-1.45339531769596,0.0245518560129043,0.0913124056646915,0.0328833775999438,4384,"tags=49%, list=26%, signal=36%","PRKACA/KHSRP/NR1H2/MIR27B/FBN1/PCSK6/FURIN/AGTR1/ABCA7/LPCAT3/LDLR/GPLD1/ACSL3/ITGAV/APOC1/HNRNPK/CSK/LRPAP1/HMOX1/PRKACB/PCSK9/APOH/ZDHHC8/DGAT1/SCARB1/ANXA2/VLDLR/LDLRAP1/SOAT1",0.352487857583619
"GO:1903146","regulation of autophagy of mitochondrion",51,-0.390548828893376,-1.45296773517403,0.0419161676646707,0.137944236746093,0.049676409154247,4243,"tags=49%, list=25%, signal=37%","SKP1/FBXO7/HTT/HUWE1/PINK1/CTTN/DNM1L/DELE1/CAMKK2/CERS1/VPS13D/STUB1/FZD5/VDAC1/HDAC6/EIF2AK1/PARK7/FBXL4/FKBP8/TSPO/ATP13A2/BNIP3L/SLC25A5/SREBF2/SREBF1",0.271288554688953
"GO:0006641","triglyceride metabolic process",69,-0.373537159738068,-1.45272059909203,0.0262731229349883,0.0965268474399219,0.0347611997492963,3222,"tags=32%, list=19%, signal=26%","SIK1/PLAAT3/LDLR/GPLD1/CAV1/SEL1L/APOC1/GPAT3/GK5/CIDEC/CPT1A/APOH/LMF1/MBOAT7/MGLL/DGAT1/SORL1/SCARB1/TMX1/SREBF1/AGPAT2/CPS1",0.352487857583619
"GO:0007219","Notch signaling pathway",112,-0.345499890614011,-1.45217287123131,0.016532132673904,0.0677414216881919,0.0243950067059857,2584,"tags=24%, list=15%, signal=21%","ZMIZ1/GMDS/SEL1L/RITA1/RHBDF2/TSPAN15/PSEN2/SRC/WWP2/AKT1/GALNT11/ITGB1BP1/PRAG1/TSPAN5/POFUT1/ADAM10/CD46/LLGL1/SREBF2/JAG2/TSPAN14/EGFL7/NOTCH3/NEURL1B/LLGL2/APP/CNTN1",0.352487857583619
"GO:0010959","regulation of metal ion transport",230,-0.315566256437346,-1.45190435677373,0.00253648609325279,0.0173022485247406,0.00623087703609936,3567,"tags=32%, list=21%, signal=26%","PRNP/DIAPH1/PPP3CA/ANK3/YWHAE/KCNQ1/CAMK2D/UBQLN1/AHCYL1/TGFB1/SIK1/TSPAN18/AMIGO1/NKAIN4/CACNA1D/UBASH3B/KCNH2/SRI/CAV1/P2RY6/SLN/PKD2/VDAC1/PDE4B/FLNA/THY1/PPP3CB/GSTO1/CALM2/GNB2/AFG3L2/DRD1/FHL1/PSEN2/ADORA1/WWP2/SLC30A6/GRIN3B/ATP1B3/YWHAH/SARAF/PCSK9/PACSIN3/F2/PTPN3/BIN1/WFS1/TSPO/TESC/SESTD1/ACTN4/CACNG6/ATP1B1/HFE/TMBIM6/TMX1/CALM3/UTRN/WNK2/MCUB/CHP1/STIM1/SNTA1/PLCG1/GNAI2/ATP1A1/CAMK2G/SELENON/KCNAB2/MYLK/UCP2/ASPH/F2R/G6PD",0.431707695803346
"GO:0015908","fatty acid transport",69,-0.373293147771227,-1.45177161396052,0.0267551851834592,0.0977433779491226,0.035199296104383,3321,"tags=29%, list=20%, signal=23%","PLA2G12A/ABCD1/PROCA1/AKT2/LYPLA1/RBP1/ACSL3/SLC2A1/BDKRB2/CPT1A/AKT1/EPRS1/ABCD3/PLA2R1/PLA2G4A/GOT2/SLC27A4/UCP2/ABCC4/SLC27A2",0.352487857583619
"GO:0051051","negative regulation of transport",293,-0.30687649391547,-1.45101094540381,0.00210920729344759,0.0154063837086607,0.00554813915210874,4239,"tags=36%, list=25%, signal=27%","KCNJ11/ANKRD13D/NR1H2/FFAR4/ARFIP1/SLC43A1/UNC119/STK39/UBE2J1/MIR27B/RIN3/SLC43A2/RAB11FIP3/ARHGAP1/RAB7A/SUFU/PPP3CA/ANK3/YWHAE/KCNQ1/CAMK2D/UBQLN1/EPHA5/TGFB1/AKT2/LYPLA1/ABCA7/PDE8B/CERS1/SRRM3/RAC1/SNX33/GABRE/NRG1/KCNH2/CAV1/SNX12/ERLEC1/ITGAV/ANKRD13B/VAMP3/SLN/MAPK3/CD47/RACK1/APOC1/VDAC1/RHBDF2/SNX3/PPP3CB/OS9/CSK/APPL1/YWHAB/GSTO1/ARL6IP5/CALM2/ERBB3/MDFIC/LRPAP1/PARK7/SIRPA/ADORA1/SFRP4/WWP2/BARD1/ANXA1/AKT1/PCSK9/PACSIN3/IRS1/ERP29/PLA2R1/BIN1/APPL2/FERMT1/HMGB1/TSPO/GJA1/PDE1C/SESTD1/LRRK2/ATP9A/UBAC2/VPS35/PNKD/TMBIM6/CALM3/SREBF2/TNFRSF1A/MCUB/GNAZ/ANXA2/CDK5/CHP1/YWHAQ/ANXA13/GNAI2/ABCA2/ALDH7A1/INHBB/IDH2/HADH/UCP2/F2R",0.431707695803346
"GO:0032984","protein-containing complex disassembly",228,-0.312677597733231,-1.45024028412412,0.00368555413017733,0.0229566295396639,0.00826712988317086,4280,"tags=34%, list=26%, signal=25%","GSPT1/MAP1B/CAPZA2/TECPR1/SNAP29/ETF1/PDXP/KIF5B/VPS33A/KIF2A/STX17/FLII/PEX10/SMARCC2/CHMP7/ABCE1/UBQLN1/LAMP2/IGF1R/SMARCD3/NES/CAPG/FYCO1/AURKB/KIF18B/SPTBN2/CRACD/MTPN/SPTB/SLN/SMARCD2/PEX5/GSN/KIF2C/HDAC6/SET/SPAST/SSRP1/SHISA5/WASHC2C/TMOD3/PPP1CA/ATAD2/SUPT16H/CFL1/ADD1/MAP1A/SMARCC1/CLASP2/CHMP3/INSR/KATNB1/WDR1/CAPZB/HSPA8/HMGA1/CKAP2/NCKAP5/ADD3/TWF2/CKAP5/SNX14/DSTN/CLTC/TRIOBP/APEH/VCP/TPX2/STMN1/CARMIL1/ATP2A2/GAS2L1/F2RL1/DMTN/ADD2/ASPH/RDX",0.431707695803346
"GO:0090504","epiboly",34,-0.435579276031922,-1.45011584324579,0.0432692307692308,0.140487618400374,0.0505923304763247,3304,"tags=41%, list=20%, signal=33%","PHLDB2/TOR1A/MTOR/ITGAV/MEGF8/FLNA/ARHGAP35/CLASP2/FERMT1/CD151/DDR1/RHOA/ITGB1/ITGB5",0.276500599254472
