"","GSM4385296","GSM4385297","GSM4385298","GSM4385299","GSM4385300","GSM4385301"
"645323",1,0,0,0,0,0
"645332",256,186,155,164,159,145
"645339",1,0,0,2,0,2
"645354",0,0,0,0,0,0
"645355",0,0,0,0,0,0
"645359",0,0,0,0,0,0
"645367",346,329,265,204,250,242
"645369",1,2,2,0,5,0
"645382",1,0,0,0,0,0
"645402",6,9,4,3,5,10
"645414",0,0,0,0,0,0
"645425",0,0,1,0,0,0
"645426",12,19,21,28,24,17
"645431",44,44,41,27,37,32
"645432",60,48,28,49,41,48
"645434",0,0,0,1,0,0
"645455",21,20,20,25,22,21
"645485",11,11,5,13,7,5
"6455",956,968,765,760,686,622
"645513",226,230,174,189,199,172
"645520",0,0,1,0,0,0
"645528",0,1,1,0,1,2
"645553",1091,1020,806,811,761,781
"645591",0,0,0,0,0,0
"6456",14,17,14,17,11,8
"645638",86,114,60,76,71,87
"645644",723,532,525,486,480,435
"645676",126,116,90,109,89,108
"645682",29,43,35,37,35,37
"645683",7,10,9,11,14,5
"645687",19,10,18,14,17,11
"6457",9,4,4,0,9,5
"645700",2,3,5,6,4,5
"645745",0,2,0,0,0,0
"645752",0,0,2,0,0,0
"64577",23,20,27,33,30,11
"645784",2,2,3,2,0,3
"64579",0,0,1,0,1,1
"6458",166,142,121,99,107,110
"64581",0,5,0,1,0,1
"645811",26,23,26,22,25,19
"64582",2608,2279,2095,1980,2317,2250
"645832",49,65,30,51,33,39
"645836",2,1,1,1,2,0
"645843",212,182,185,185,209,173
"645864",1,0,1,0,2,0
"645884",0,0,1,0,0,0
"6459",84,73,72,72,61,61
"64591",0,0,0,0,0,0
"64593",0,0,0,0,0,0
"645949",0,0,1,3,2,0
"64595",64,64,58,51,62,65
"645954",6,1,2,0,1,4
"645958",54,49,47,39,47,28
"645961",3,0,0,0,0,0
"645967",35,33,30,29,39,21
"645974",0,0,0,0,0,0
"64598",168,207,145,159,161,118
"64599",2255,2278,1648,1738,1741,1599
"645996",0,0,0,0,0,0
"646",7,3,3,5,9,3
