"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME","GeneType","ENTREZID","Regulation","minusLog10P","minusLog10FDR"
"102723741",64.311745865137,1.47999979309816,0.23814278897864,6.65794135881513,2.77689519113258e-11,4.64457415210606e-09,"LINC02863","long intergenic non-protein coding RNA 2863","ncRNA","102723741","Up in ZIKV",10.5564405115972,8.33305409908017
"282616",22.055082236691,4.5779321431639,0.703253851133269,6.64143158097472,3.10650949090691e-11,5.11594320698662e-09,"IFNL2","interferon lambda 2","protein-coding","282616","Up in ZIKV",10.5077273152064,8.29107428534843
"83854",91.2202559322804,1.15080988101801,0.204488848471461,6.11757780310755,9.5008377939464e-10,1.42240165266153e-07,"ANGPTL6","angiopoietin like 6","protein-coding","83854","Up in ZIKV",9.02223809647482,6.84697775177504
"9473",34.1131143670372,1.90216086381117,0.350916645989237,5.90903693140763,3.44113556844826e-09,5.04597749211704e-07,"THEMIS2","thymocyte selection associated family member 2","protein-coding","9473","Up in ZIKV",8.46329821739092,6.29705469101051
"57664",72.5284885792693,1.27645425015677,0.249016855061687,5.66281888848915,1.4890630105641e-08,2.05673225762366e-06,"PLEKHA4","pleckstrin homology domain containing A4","protein-coding","57664","Up in ZIKV",7.82708692443634,5.68682224044179
"115361",20.5481592793151,2.62430048569714,0.504510194399729,5.65417085299316,1.56600379806373e-08,2.14913944312477e-06,"GBP4","guanylate binding protein 4","protein-coding","115361","Up in ZIKV",7.80520718897276,5.66773540516238
"100500827",65.6500191604134,1.15525005503631,0.235031101089919,5.47288597266041,4.42765027445271e-08,5.71033522444325e-06,"MIR3614","microRNA 3614","ncRNA","100500827","Up in ZIKV",7.35382668993279,5.243338395808
"11262",28.405335984492,1.85845007884597,0.37652223937623,5.47100448464748,4.47491973003727e-08,5.73673991020167e-06,"SP140","SP140 nuclear body protein","protein-coding","11262","Up in ZIKV",7.34921475054126,5.241334839524
"3456",10.0842623814677,7.26943647010638,2.576839002177,5.40310644837446,6.54965639077209e-08,8.1052944317942e-06,"IFNB1","interferon beta 1","protein-coding","3456","Up in ZIKV",7.18378148344424,5.09123120440819
"197135",26.6449333219016,1.9198140784607,0.399058050825341,5.36599570887206,8.05038553973202e-08,9.79265363750698e-06,"PATL2","PAT1 homolog 2","protein-coding","197135","Up in ZIKV",7.0941833204062,5.0090996060555
"6352",29.8887322450388,1.79918655885071,0.385744051938843,5.23881601351636,1.61610054485345e-07,1.90104926180042e-05,"CCL5","C-C motif chemokine ligand 5","protein-coding","6352","Up in ZIKV",6.79153162331596,4.72100662913619
"373856",22.4882270512867,1.95247936331248,0.435224524427644,5.07378976049266,3.89969905121913e-07,4.44088600997608e-05,"USP41","ubiquitin specific peptidase 41","pseudo","373856","Up in ZIKV",6.40896890718836,4.3525303742872
