"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","Regulation","minusLog10P","minusLog10FDR"
"ENSG00000138135",869.457096393638,7.82670455892172,0.398023235829201,19.7384346665387,1.0085432238725e-86,2.17155280466442e-84,"CH25H","9023","cholesterol 25-hydroxylase","Up in ZIKV",85.996305484177,83.6632296056315
"ENSG00000137571",423.783943312029,5.9627258328375,0.30532815010256,19.5991643248958,1.5718400369692e-85,3.31463793362938e-83,"SLCO5A1","81796","solute carrier organic anion transporter family member 5A1","Up in ZIKV",84.8035916533325,82.4795639037644
"ENSG00000100867",1156.56655738037,3.90259572531455,0.200987032743758,19.5338867367903,5.6565915464008e-85,1.18066918450641e-82,"DHRS2","10202","dehydrogenase/reductase 2","Up in ZIKV",84.2474451798505,81.9278717717086
"ENSG00000187608",6143.76593829526,6.28220717465529,0.328080936127307,19.3394122237339,2.50311917424036e-83,4.92320218356601e-81,"ISG15","9636","ISG15 ubiquitin like modifier","Up in ZIKV",82.6015184730115,80.3077523284759
"ENSG00000112149",478.732653497813,4.57363371482695,0.238488678012193,19.292987539869,6.15138211710395e-83,1.18704265288077e-80,"CD83","9308","CD83 molecule","Up in ZIKV",82.2110272942419,79.9255336756722
"ENSG00000170689",2557.54676005419,3.43220201213519,0.179373776579218,19.252099328794,1.35556972615856e-82,2.59141857463302e-80,"HOXB9","3219","homeobox B9","Up in ZIKV",81.8678781387939,79.5864624326447
"ENSG00000183709",1150.23903532249,8.60064854123566,0.447997744182491,19.2515569036801,1.36983805983672e-82,2.59444791795927e-80,"IFNL2","282616","interferon lambda 2","Up in ZIKV",81.8633307714394,79.585955043092
"ENSG00000113916",1753.61907009656,3.19249070837942,0.166935155306618,19.2381451443454,1.77445445504011e-82,3.32995099796747e-80,"BCL6","604","BCL6 transcription repressor","Up in ZIKV",81.750935143219,79.4775621573252
"ENSG00000184786",1290.98743095116,4.69591015099879,0.245967895000297,19.2057040173193,3.31597807140698e-82,6.11066049104773e-80,"DYNLT2","6991","dynein light chain Tctex-type 2","Up in ZIKV",81.4793883501056,79.2139118450579
"ENSG00000112773",2009.2475813473,3.69390249891512,0.194204542340468,19.1401133767913,1.17015186386442e-81,2.11818198011918e-79,"TENT5A","55603","terminal nucleotidyltransferase 5A","Up in ZIKV",80.9317577712809,78.6740367309299
"ENSG00000010810",1167.25803191113,3.04375396782472,0.160779299837621,19.0385037063607,8.18322180400852e-81,1.45554610435647e-78,"FYN","2534","FYN proto-oncogene, Src family tyrosine kinase","Up in ZIKV",80.0870756772302,77.8369740337494
