"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","Regulation","minusLog10P","minusLog10FDR"
"ENSG00000089063",1854.73232907872,-2.59823659986498,0.242258667327,-10.9034551148709,1.10962065086952e-27,1.45216189466002e-26,"TMEM230","29058","transmembrane protein 230","Down in ZIKV",26.9548254693147,25.8379849634995
"ENSG00000183688",1504.67270896555,-1.8948986966339,0.176049620539219,-10.8985993987661,1.17045051642186e-27,1.53079062106197e-26,"RFLNB","359845","refilin B","Down in ZIKV",26.9316469424109,25.8150842073004
"ENSG00000122971",366.859313726389,-2.13520242623956,0.19877214571351,-10.8929231334525,1.24576337659311e-27,1.62720880384495e-26,"ACADS","35","acyl-CoA dehydrogenase short chain","Down in ZIKV",26.9045644408221,25.7885567147096
"ENSG00000142327",1568.89967603252,-2.07750577230103,0.193485549993651,-10.892258313426,1.25489280492818e-27,1.63808757656706e-26,"RNPEPL1","57140","arginyl aminopeptidase like 1","Down in ZIKV",26.9013933707698,25.785662883404
"ENSG00000159363",1315.58344681671,-2.49532004544185,0.232999996035825,-10.8887234901029,1.30455950363168e-27,1.69750411239097e-26,"ATP13A2","23400","ATPase cation transporting 13A2","Down in ZIKV",26.8845361070509,25.7701891649199
"ENSG00000137509",1485.16853119525,-2.06448543908841,0.192197555601614,-10.8871773034925,1.32689277584373e-27,1.72546673425833e-26,"PRCP","5547","prolylcarboxypeptidase","Down in ZIKV",26.8771641703841,25.763093409173
"ENSG00000170293",184.4550835486,-2.9379895298137,0.274157225930612,-10.8851596964503,1.35660640875264e-27,1.76298501213692e-26,"CMTM8","152189","CKLF like MARVEL transmembrane domain containing 8","Down in ZIKV",26.8675461356129,25.7537513798016
"ENSG00000117115",245.189590474358,-2.86313780540147,0.267666092628923,-10.8847873593395,1.36216156673365e-27,1.76908030778011e-26,"PADI2","11240","peptidyl arginine deiminase 2","Down in ZIKV",26.8657713774604,25.7522524517516
"ENSG00000136811",869.698179846084,-1.77112483174693,0.164797121242822,-10.873737220767,1.53770248206676e-27,1.99326389548007e-26,"ODF2","4957","outer dense fiber of sperm tails 2","Down in ZIKV",26.8131276846229,25.7004351996619
"ENSG00000117335",5221.11602688684,-1.87400352092771,0.174537878291257,-10.8698624812199,1.60442496141701e-27,2.07843651588252e-26,"CD46","4179","CD46 molecule","Down in ZIKV",26.7946805899456,25.6822632361195
"ENSG00000104331",2843.02997724141,-1.61827321686762,0.150514508846748,-10.8622882389285,1.74325388935535e-27,2.25685179156732e-26,"BPNT2","54928","3'(2'), 5'-bisphosphate nucleotidase 2","Down in ZIKV",26.7586393571721,25.6464969602922
"ENSG00000176890",533.289357752788,-2.83255768488775,0.26564265231893,-10.858871391857,1.80971947488191e-27,2.33993753847721e-26,"TYMS","7298","thymidylate synthetase","Down in ZIKV",26.7423887400219,25.6307957353491
"ENSG00000133315",685.436875788494,-2.0456273093959,0.190893654563208,-10.8571927733576,1.84328705294365e-27,2.38183428098309e-26,"MACROD1","28992","mono-ADP ribosylhydrolase 1","Down in ZIKV",26.7344070273409,25.6230884583689
"ENSG00000032444",2765.48343861588,-1.93495636855764,0.180554934491034,-10.8561343563292,1.86476902674479e-27,2.40807136629196e-26,"PNPLA6","10908","patatin like domain 6, lysophospholipase","Down in ZIKV",26.7293749529289,25.618330646348
"ENSG00000149328",178.504467422128,-3.28484617602173,0.308521308999763,-10.8560485921126,1.86652056031566e-27,2.40881249597835e-26,"GLB1L2","89944","galactosidase beta 1 like 2","Down in ZIKV",26.7289672218199,25.6181970045393
"ENSG00000101464",762.609937370582,-2.38474235525992,0.223224673820146,-10.850657131279,1.97996688518178e-27,2.5519989058849e-26,"PIGU","128869","phosphatidylinositol glycan anchor biosynthesis class U","Down in ZIKV",26.7033420732249,25.5931195161453
"ENSG00000117114",954.183113081859,-2.13312624230481,0.199451086391477,-10.8485130921582,2.02695860699525e-27,2.61092180768816e-26,"ADGRL2","23266","adhesion G protein-coupled receptor L2","Down in ZIKV",26.6931551200475,25.5832061343042
"ENSG00000141447",376.868928146932,-1.9779341652248,0.184732932083309,-10.8432341018172,2.14742723838368e-27,2.75568533005886e-26,"OSBPL1A","114876","oxysterol binding protein like 1A","Down in ZIKV",26.668081542516,25.5597703757417
"ENSG00000165475",244.717364005546,-2.60320715068783,0.243967346962236,-10.8415129255715,2.18821967801302e-27,2.80627169365244e-26,"CRYL1","51084","crystallin lambda 1","Down in ZIKV",26.6599090808031,25.5518702843619
"ENSG00000215182",365.814578963883,-2.9731823147541,0.279930466131117,-10.8380707052318,2.27212064044779e-27,2.91022089545144e-26,"MUC5AC","4586","mucin 5AC, oligomeric mucus/gel-forming","Down in ZIKV",26.6435686130623,25.5360740453664
"ENSG00000181090",1572.88162432741,-1.67913261260938,0.15744815754089,-10.8372309277105,2.29306886073762e-27,2.93521423944856e-26,"EHMT1","79813","euchromatic histone lysine methyltransferase 1","Down in ZIKV",26.6395829032337,25.5323601943773
"ENSG00000184887",494.085385866618,-2.26126131020153,0.211733672738812,-10.8340794957956,2.37340337314862e-27,3.0361454657758e-26,"BTBD6","90135","BTB domain containing 6","Down in ZIKV",26.6246284447388,25.5176774246506
"ENSG00000137642",296.071416972855,-2.69999445645719,0.254002815003732,-10.8287343141519,2.51609022539036e-27,3.21465493818613e-26,"SORL1","6653","sortilin related receptor 1","Down in ZIKV",26.5992737894245,25.4928656375094
"ENSG00000184216",5981.67041521499,-1.73144165511149,0.160655620155787,-10.8262511696926,2.58523912650162e-27,3.2968245843261e-26,"IRAK1","3654","interleukin 1 receptor associated kinase 1","Down in ZIKV",26.5874992798362,25.4819041599499
"ENSG00000000003",1211.75108890732,-2.04799418287223,0.191715557430994,-10.8257719525142,2.59879937658278e-27,3.30999011506855e-26,"TSPAN6","7105","tetraspanin 6","Down in ZIKV",26.5852272460881,25.4801733031964
"ENSG00000137161",837.291085464872,-2.11900821142182,0.198568057904783,-10.8202816100054,2.75928242339455e-27,3.51220422965373e-26,"CNPY3","10695","canopy FGF signaling regulator 3","Down in ZIKV",26.5592038454996,25.4544202384286
"ENSG00000070814",2630.47353402909,-1.7329628160972,0.162013837201562,-10.8201832531575,2.76224523344501e-27,3.51378894590284e-26,"TCOF1","6949","treacle ribosome biogenesis factor 1","Down in ZIKV",26.5587377671752,25.4542243277532
"ENSG00000095383",317.172679199178,-2.38383158271917,0.224252930948219,-10.8053469481079,3.24727084794967e-27,4.12821163423309e-26,"TBC1D2","55357","TBC1 domain family member 2","Down in ZIKV",26.4884814862849,25.3842380465495
"ENSG00000102109",674.003209676518,-3.16463018440095,0.298567103510455,-10.8038342185459,3.30123629827031e-27,4.19160698206823e-26,"PCSK1N","27344","proprotein convertase subtilisin/kexin type 1 inhibitor","Down in ZIKV",26.4813233883137,25.3776194448986
"ENSG00000185420",368.161962563444,-2.09370505711206,0.196404770060503,-10.8024828568075,3.35019663650454e-27,4.25113351114767e-26,"SMYD3","64754","SET and MYND domain containing 3","Down in ZIKV",26.4749297017265,25.3714952553612
"ENSG00000054793",1700.3352146584,-2.34751547895758,0.221038105509239,-10.7919956251559,3.75544763581624e-27,4.76241050158842e-26,"ATP9A","10079","ATPase phospholipid transporting 9A","Down in ZIKV",26.4253382892382,25.3221731727928
