"","GSM8231986","GSM8231987","GSM8231988","GSM8231989","GSM8231990","GSM8231991"
"ENSG00000012822",2051,1901,1605,1333,869,1198
"ENSG00000012963",535,632,377,891,1028,1055
"ENSG00000012983",1879,2170,1424,1447,1470,1439
"ENSG00000013016",326,292,296,809,980,964
"ENSG00000013275",7367,14921,7541,5187,5305,7140
"ENSG00000013288",409,332,325,1317,978,1019
"ENSG00000013297",71,78,77,67,47,61
"ENSG00000013306",1561,2609,1562,3321,5913,4354
"ENSG00000013364",1847,2361,1677,7393,7121,6500
"ENSG00000013374",1977,2403,1565,1984,1898,2353
"ENSG00000013375",933,1221,767,834,790,901
"ENSG00000013392",247,383,244,156,151,224
"ENSG00000013441",4774,8003,4516,731,979,1095
"ENSG00000013503",159,255,172,238,403,341
"ENSG00000013523",339,358,291,949,1148,942
"ENSG00000013561",993,1539,835,1072,1632,1267
"ENSG00000013563",144,192,135,326,316,277
"ENSG00000013573",1705,1970,1485,1855,2678,2208
"ENSG00000013583",369,543,276,991,1219,993
"ENSG00000013588",5033,5578,4644,11482,8722,8835
"ENSG00000013619",425,343,251,199,158,192
"ENSG00000013810",1595,2372,1587,3036,5028,3626
"ENSG00000014123",874,952,635,841,790,901
"ENSG00000014138",249,376,235,204,476,261
"ENSG00000014164",1224,1323,1062,1234,799,940
"ENSG00000014216",1487,2031,1465,5939,6112,5882
"ENSG00000014641",1651,2938,1531,3861,7069,5715
"ENSG00000014824",680,773,487,1364,1330,1599
"ENSG00000014914",567,733,606,895,951,1033
"ENSG00000014919",629,643,465,944,1367,1035
"ENSG00000015133",84,78,88,451,510,431
"ENSG00000015153",1210,1758,896,662,640,638
"ENSG00000015171",1568,1713,1283,3010,2803,3245
"ENSG00000015285",42,33,38,25,11,15
"ENSG00000015413",3,6,5,18,28,36
"ENSG00000015475",413,662,344,1137,1994,1767
"ENSG00000015479",223,264,239,93,134,71
"ENSG00000015520",142,99,95,7,4,4
"ENSG00000015532",695,827,642,2273,2424,2137
"ENSG00000015592",188,235,155,1,3,0
"ENSG00000015676",1498,1995,1325,2913,3859,2845
"ENSG00000016391",109,137,103,406,543,525
"ENSG00000016864",617,959,553,1302,1010,1305
"ENSG00000017260",1158,1361,969,2317,2737,2348
"ENSG00000017483",12,16,13,4,5,7
"ENSG00000017797",522,669,530,2316,2692,2466
"ENSG00000018189",606,469,401,619,759,636
"ENSG00000018236",414,596,488,9446,12700,13421
"ENSG00000018280",71,90,54,15,27,19
"ENSG00000018408",1977,2235,1405,4953,5054,4718
"ENSG00000018510",1518,1748,1116,3209,3454,3186
"ENSG00000018610",805,1177,635,714,1028,811
"ENSG00000018625",22,7,17,10,12,6
"ENSG00000018699",1181,1794,1063,1217,1440,1331
"ENSG00000018869",20,19,30,2,14,2
"ENSG00000019144",828,681,619,1965,1393,1099
"ENSG00000019186",2003,2531,2516,74735,57901,61210
"ENSG00000019485",714,698,511,591,597,540
"ENSG00000019505",663,482,339,3613,2104,2046
"ENSG00000019549",152,166,81,23,28,15
"ENSG00000019582",41,32,27,16,12,7
"ENSG00000019995",497,562,420,389,456,422
"ENSG00000020129",1269,1364,1188,693,953,726
"ENSG00000020181",130,75,70,526,472,351
"ENSG00000020219",270,266,188,2,3,0
"ENSG00000020256",455,674,425,849,651,851
"ENSG00000020426",478,831,383,458,1030,665
"ENSG00000020577",4648,3620,3193,727,514,470
"ENSG00000020633",234,272,170,392,361,384
"ENSG00000020922",578,645,433,1347,1499,1312
"ENSG00000021300",13,5,7,58,33,41
"ENSG00000021355",773,1011,633,2344,2508,3108
"ENSG00000021488",37,47,23,23,7,16
"ENSG00000021574",623,642,428,1535,1994,1259
"ENSG00000021645",31,21,28,104,45,78
"ENSG00000021762",147,149,148,766,620,625
"ENSG00000021776",1649,1690,1313,2895,3248,3200
"ENSG00000021826",107,183,145,2121,4535,4212
"ENSG00000022267",170,226,179,622,518,621
"ENSG00000022277",1123,1981,976,1784,2345,2434
"ENSG00000022556",1017,1095,883,1884,2794,2248
"ENSG00000022567",322,304,245,1346,2469,1759
"ENSG00000022840",3482,4319,3045,4119,3857,3683
"ENSG00000022976",433,475,398,288,379,288
"ENSG00000023041",977,1393,743,1124,1228,1413
